"herbicide","model","wi","dpar","link","parameter","Estimate","Q2.5","Q97.5"
"hexazinone","ecxll4",0.130334422796212,"mu","identity","bot",0.006953913,0.0012192769725,0.0173926741
"hexazinone","ecxll4",0.130334422796212,"mu","identity","beta",0.38441556,0.29750895525,0.480183138
"hexazinone","ecxll4",0.130334422796212,"mu","identity","ec50",7.30846817640689,6.69524936571508,7.962794772464
"hexazinone","ecx4param",0.126165889953549,"mu","identity","top",0.668820645,0.65358452675,0.68434569025
"hexazinone","ecx4param",0.126165889953549,"mu","identity","bot",0.00694351625,0.0012810359775,0.017334230325
"hexazinone","ecx4param",0.126165889953549,"mu","identity","beta",0.383139015,0.2982629955,0.48034576175
"hexazinone","ecx4param",0.126165889953549,"mu","identity","ec50",7.31877709141194,6.6832251806084,7.95659653587866
"hexazinone","ecxwb2p3",0.0629630395457613,"mu","identity","top",0.653582645,0.63936614825,0.66790704975
"hexazinone","ecxwb2p3",0.0629630395457613,"mu","identity","beta",0.090682122,0.0117979867,0.165016384
"hexazinone","ecxwb2p3",0.0629630395457613,"mu","identity","ec50",5.03915218167668,4.57093732479359,5.5310872886727
"hexazinone","ecxwb2",0.0179600885482346,"mu","identity","top",0.653166365,0.63869493775,0.66735485625
"hexazinone","ecxwb2",0.0179600885482346,"mu","identity","bot",0.0046267443,0.000717138435,0.013753214975
"hexazinone","ecxwb2",0.0179600885482346,"mu","identity","beta",0.11643604,0.031554723,0.203962763
"hexazinone","ecxwb2",0.0179600885482346,"mu","identity","ec50",5.00834364184093,4.54819600878065,5.52319851186791
"hexazinone","ecxwb1p3",0.0130800847790605,"mu","identity","top",0.709644685,0.6860249205,0.735373141
"hexazinone","ecxwb1p3",0.0130800847790605,"mu","identity","beta",-0.27890984,-0.37962271875,-0.184663944
"hexazinone","ecxwb1p3",0.0130800847790605,"mu","identity","ec50",11.7665304651407,10.6174209456388,13.0218547181587
"hexazinone","ecxwb1",0.000834077657413071,"mu","identity","top",0.69276852,0.67270078325,0.71457802175
"hexazinone","ecxwb1",0.000834077657413071,"mu","identity","bot",0.018469272,0.009595799505,0.030138437325
"hexazinone","ecxwb1",0.000834077657413071,"mu","identity","beta",-0.12311232,-0.228730506,-0.020835636875
"hexazinone","ecxwb1",0.000834077657413071,"mu","identity","ec50",11.048973751148,9.97775455736926,12.1576461557779
"hexazinone","nec3param",4.84160623738292e-05,"mu","identity","top",0.65347636,0.6366443485,0.669492513
"hexazinone","nec3param",4.84160623738292e-05,"mu","identity","beta",-0.259076525,-0.335423966,-0.1874578935
"hexazinone","nec3param",4.84160623738292e-05,"mu","identity","nec",2.38429570775949,2.18061837539732,2.58007037861646
"hexazinone","nec4param",8.82817653205803e-06,"mu","identity","top",0.653454575,0.636062182,0.6698378435
"hexazinone","nec4param",8.82817653205803e-06,"mu","identity","bot",0.00491009575,0.000765386327,0.01568915225
"hexazinone","nec4param",8.82817653205803e-06,"mu","identity","beta",-0.234628445,-0.3162194175,-0.14914832975
"hexazinone","nec4param",8.82817653205803e-06,"mu","identity","nec",2.39383106825884,2.18893294059318,2.58690168000239
"hexazinone","ecxexp",1.65416394093928e-41,"mu","identity","top",0.454027195,0.41929210375,0.48807448575
"hexazinone","ecxexp",1.65416394093928e-41,"mu","identity","beta",-1.4874735,-1.6510421475,-1.34447943
"irgarol","ecxll4",0.344839446641351,"mu","identity","top",0.70580973,0.668948862,0.74844424725
"irgarol","ecxll4",0.344839446641351,"mu","identity","bot",0.00618629675,0.00363576503,0.0095708452775
"irgarol","ecxll4",0.344839446641351,"mu","identity","beta",0.574176435,0.4593833885,0.68551193725
"irgarol","ecxll4",0.344839446641351,"mu","identity","ec50",0.498292746645995,0.435926887463849,0.5612019011057
