"comparison","diff.Estimate","diff.Q2.5","diff.Q97.5","x"
"30-406",-0.104230924536585,-0.140367141033898,-0.0660873506421658,1.03260066948871
"30-406",-0.120946717273712,-0.157756083498217,-0.0823284227111526,1.24679854480594
"30-406",-0.138003522344226,-0.175483768700101,-0.0990653917553131,1.46099642012318
"30-406",-0.155468744648563,-0.193663482967118,-0.115484331073302,1.67519429544041
"30-406",-0.172755520656837,-0.211274243030019,-0.131540472014067,1.88939217075764
"30-406",-0.189583259339358,-0.229831771317587,-0.14691774178788,2.10359004607488
"30-406",-0.205397148283182,-0.247480683909584,-0.160906006307367,2.31778792139211
"30-406",-0.219736200698192,-0.264736103260427,-0.173741155201112,2.53198579670935
"30-406",-0.231828122301134,-0.279225461517366,-0.183944798071278,2.74618367202658
"30-406",-0.241120920777225,-0.291720621999141,-0.192077768463415,2.96038154734381
"30-406",-0.246789926840059,-0.300034999584778,-0.19647842130048,3.17457942266105
"30-406",-0.248078399315942,-0.304032621206598,-0.196910387654638,3.38877729797828
"30-406",-0.24416784649419,-0.301824257005628,-0.192663275395936,3.60297517329552
"30-406",-0.234987233888485,-0.292121988063,-0.184064037356018,3.81717304861275
"30-406",-0.219693865658914,-0.276237638923667,-0.17016474028982,4.03137092392998
"30-406",-0.199076136891081,-0.253359874177193,-0.152077029181529,4.24556879924722
"30-406",-0.173642038129646,-0.2236178556575,-0.129463905328798,4.45976667456445
"30-406",-0.1448854515488,-0.190299382282422,-0.103811613871449,4.67396454988168
"30-406",-0.114364553264659,-0.154562922174312,-0.0757241060094668,4.88816242519892
"30-406",-0.0845411902242831,-0.120896545277206,-0.0484895853539342,5.10236030051615
"30-406",-0.0577676664571558,-0.0903207198579104,-0.025107376571331,5.31655817583339
"30-406",-0.0359764675669609,-0.0645707274715105,-0.00719412485944386,5.53075605115062
"30-406",-0.0206031541890076,-0.0450932997559946,0.00342851156042049,5.74495392646785
"30-406",-0.0117308802564603,-0.0319334182524227,0.00902363103881156,5.95915180178509
"30-406",-0.00802101362653209,-0.0249136932920988,0.012214165389698,6.17334967710232
"30-406",-0.00758980854395342,-0.0227419718294526,0.0135534025379114,6.38754755241956
"30-406",-0.00855915079541913,-0.0234772375072295,0.0139555932271594,6.60174542773679
"30-406",-0.00980458440393125,-0.0247228825254294,0.0135341443512827,6.81594330305402
"30-406",-0.0108710591756407,-0.0258359816594423,0.0130932343120279,7.03014117837126
"30-406",-0.0115952220483816,-0.0266113707680436,0.0126338856990926,7.24433905368849
"30-406",-0.0120722011889152,-0.0269984908476221,0.0124892236184287,7.45853692900572
"30-406",-0.0123243768383271,-0.0272220867083615,0.0122942521174898,7.67273480432296
"30-406",-0.0124567583233545,-0.0272964077275239,0.0121183881208137,7.88693267964019
"30-406",-0.0125148314855609,-0.027337471142778,0.0120838159142951,8.10113055495743
"30-406",-0.0125714650954366,-0.0273472100888034,0.0119068320879639,8.31532843027466
