"fit","x_e","y_e","y_ci","x_r","y_r","nec_vals"
"Cu",1.63153513513514,2916.1994809451,1825.33457776866,NA,NA,NA
"Cu",1.64178378378378,2915.49045060342,1824.25811162763,NA,NA,NA
"Cu",1.65203243243243,2914.78845466006,1823.2200371123,NA,NA,NA
"Cu",1.66228108108108,2914.3197844216,1822.4868133168,NA,NA,NA
"Cu",1.67252972972973,2913.90756510858,1822.40919798428,NA,NA,NA
"Cu",1.68277837837838,2913.62249182688,1822.34522856853,NA,NA,NA
"Cu",1.69302702702703,2913.35932607097,1821.77797966944,NA,NA,NA
"Cu",1.70327567567568,2913.10413140638,1820.72592435904,NA,NA,NA
"Cu",1.71352432432432,2912.85662061984,1819.70117792252,NA,NA,NA
"Cu",1.72377297297297,2912.61651847622,1819.18087460862,NA,NA,NA
"Cu",1.73402162162162,2912.20012787793,1818.82893579231,NA,NA,NA
"Cu",1.74427027027027,2912.0685576694,1818.36862566592,NA,NA,NA
"Cu",1.75451891891892,2911.9380795309,1817.66578916344,NA,NA,NA
"Cu",1.76476756756757,2911.72507995306,1816.98079398804,NA,NA,NA
"Cu",1.77501621621622,2911.51827369291,1816.31308757311,NA,NA,NA
"Cu",1.78526486486486,2911.3174464732,1815.81128097216,NA,NA,NA
"Cu",1.79551351351351,2911.12239259961,1815.40075088196,NA,NA,NA
"Cu",1.80576216216216,2910.93291457064,1815.00060596541,NA,NA,NA
"Cu",1.81601081081081,2910.74882270737,1814.61052679418,NA,NA,NA
"Cu",1.82625945945946,2910.56993480183,1814.23020548975,NA,NA,NA
"Cu",1.83650810810811,2910.2886763919,1813.85934524413,NA,NA,NA
"Cu",1.84675675675676,2909.6757051207,1813.49765986296,NA,NA,NA
"Cu",1.85700540540541,2909.03036881865,1813.14487332995,NA,NA,NA
"Cu",1.86725405405405,2908.61498700872,1812.80071939138,NA,NA,NA
"Cu",1.8775027027027,2908.43462662077,1812.46915547559,NA,NA,NA
"Cu",1.88775135135135,2908.34785384884,1812.14812871356,NA,NA,NA
"Cu",1.898,2908.26341413301,1811.83484355058,NA,NA,NA
"Cu",1.90824864864865,2907.9675420754,1811.52907299575,NA,NA,NA
"Cu",1.9184972972973,2907.74777170261,1811.23059788278,NA,NA,NA
"Cu",1.92874594594595,2907.62227667573,1810.93920656035,NA,NA,NA
"Cu",1.93899459459459,2907.50014462344,1810.65469459637,NA,NA,NA
"Cu",1.94924324324324,2907.37674119879,1810.37713049757,NA,NA,NA
"Cu",1.95949189189189,2907.09679261991,1810.10979783077,NA,NA,NA
"Cu",1.96974054054054,2906.76410345587,1809.84868113397,NA,NA,NA
"Cu",1.97998918918919,2906.43924502963,1809.59360461065,NA,NA,NA
"Cu",1.99023783783784,2906.1219938591,1809.34439831115,NA,NA,NA
"Cu",2.00048648648649,2905.84036874817,1809.10089790942,NA,NA,NA
"Cu",2.01073513513513,2905.6515492244,1808.86294448937,NA,NA,NA
"Cu",2.02098378378378,2905.4496349873,1808.6785480534,NA,NA,NA
"Cu",2.03123243243243,2905.18595455222,1808.6343660389,NA,NA,NA
"Cu",2.04148108108108,2904.96451371354,1808.59140646002,NA,NA,NA
"Cu",2.05172972972973,2904.83717860393,1808.5496294401,NA,NA,NA
"Cu",2.06197837837838,2904.71282824583,1808.50899659687,NA,NA,NA
"Cu",2.07222702702703,2904.57500231555,1808.46947097935,NA,NA,NA
"Cu",2.08247567567568,2904.41382318993,1808.43101700766,NA,NA,NA
"Cu",2.09272432432432,2904.08651521467,1808.39360041565,NA,NA,NA
"Cu",2.10297297297297,2903.76621393596,1808.3571881962,NA,NA,NA
