"fit","x","Estimate","Q2.5","Q97.5"
"no group term",1.19084324324324,403.413935478759,307.4051445318,546.808407107788
"no group term",1.20109189189189,399.588558387622,304.022664979168,541.703326373626
"no group term",1.21134054054054,395.711159398306,300.919000969713,537.455206298826
"no group term",1.22158918918919,392.139073607538,297.558651939959,533.595466299333
"no group term",1.23183783783784,388.660233607138,294.719420165342,529.700742792227
"no group term",1.24208648648649,385.413605183657,292.137500275738,526.024621461739
"no group term",1.25233513513514,382.264231820956,289.603651496603,522.291900547746
"no group term",1.26258378378378,379.148909127355,286.965026024958,518.676964249019
"no group term",1.27283243243243,376.204056701445,284.339241506034,515.328828652213
"no group term",1.28308108108108,373.376455439517,281.89812268566,511.967449664518
"no group term",1.29332972972973,370.6186754442,279.841158248447,508.611114238501
"no group term",1.30357837837838,367.915107027258,277.780402115507,505.501201820827
"no group term",1.31382702702703,365.238043604156,275.81280901247,502.451028003919
"no group term",1.32407567567568,362.665897702332,273.70167182217,499.749702161838
"no group term",1.33432432432432,360.130792488959,271.343437587067,496.827241815085
"no group term",1.34457297297297,357.77341163397,269.267231713046,494.12959409756
"no group term",1.35482162162162,355.540748425502,267.283128286,491.380275889856
"no group term",1.36507027027027,353.392329511935,265.332509052342,488.548725698825
"no group term",1.37531891891892,351.252134652457,263.474247286717,485.729073926774
"no group term",1.38556756756757,349.325749378096,261.589993408377,483.491729073248
"no group term",1.39581621621622,347.361356616557,260.166087638766,481.733369639538
"no group term",1.40606486486486,345.478829943812,258.356046161675,479.694155464623
"no group term",1.41631351351351,343.675220755472,256.690755275742,477.845910866113
"no group term",1.42656216216216,341.89496729803,255.173468941481,475.521093325431
"no group term",1.43681081081081,340.212222695615,253.477249319853,473.745812543473
"no group term",1.44705945945946,338.486704652551,252.320886163256,472.214153735168
"no group term",1.45730810810811,336.956485036029,250.588165155133,470.732752530851
"no group term",1.46755675675676,335.347115435463,249.181157890994,469.47640164354
"no group term",1.47780540540541,333.847260696003,247.829829058934,467.677714132204
"no group term",1.48805405405405,332.492513000353,246.38780058111,465.850148742028
"no group term",1.4983027027027,330.98424652865,245.197979896157,464.079472680375
"no group term",1.50855135135135,329.642917070314,244.11523517832,462.368480396138
"no group term",1.5188,328.344755348812,242.865625479997,460.688179850792
"no group term",1.52904864864865,327.133509847288,241.64986803703,459.251528362472
"no group term",1.5392972972973,325.78745074029,240.468222633969,457.9252112964
"no group term",1.54954594594595,324.52523560582,239.345495456548,456.629394566032
"no group term",1.55979459459459,323.341722797022,238.270161586379,455.150953526813
"no group term",1.57004324324324,322.143170459601,237.141148866849,453.774149645402
"no group term",1.58029189189189,321.074702767869,235.980127614026,452.201630084963
"no group term",1.59054054054054,319.995330058313,235.07996902188,451.051289257882
"no group term",1.60078918918919,318.973980347386,234.203291494488,450.049764739835
"no group term",1.61103783783784,317.860899821899,233.102958062824,449.077508102329
"no group term",1.62128648648649,316.8754556339,232.229153490876,448.169087248971
"no group term",1.63153513513514,315.945408105784,231.393414588808,447.318652791981
"no group term",1.64178378378378,315.016684709182,230.60426465621,446.431804792197
"no group term",1.65203243243243,314.121819329058,229.729972743828,445.46112097529
"no group term",1.66228108108108,313.319764658591,229.028835977447,444.516254695761
"no group term",1.67252972972973,312.353447466288,228.330204591212,443.658079717811
"no group term",1.68277837837838,311.512044537117,227.563442917803,442.828353434431
