"model","value"
"X30",-0.62420310395767
"X30",-0.676643127424984
"X30",-0.340938992771803
"X30",-0.951016275585042
"X30",-0.372246676122933
"X30",-0.634482496316243
"X30",-0.711183011514652
"X30",-1.30771902361898
"X30",-0.303351923305155
"X30",-0.368936504909164
"X30",-0.855369948994685
"X30",-0.477882660857121
"X30",-0.569043791240781
"X30",-0.699124535526545
"X30",-0.780440388129679
"X30",-0.484887203897413
"X30",-0.976692024998581
"X30",-0.612228747003918
"X30",-1.60764324246921
"X30",-0.936887116745887
"X30",-0.723779329623476
"X30",-0.936343775509292
"X30",-1.11457578005024
"X30",-0.96804950061597
"X30",-0.618750598124858
"X30",-0.676223118750119
"X30",-1.04531093626457
"X30",-0.88530634474915
"X30",-0.850537449918588
"X30",-0.662064169021156
"X30",-0.476228335202802
"X30",-0.910364978592357
"X30",-1.23081013873739
"X30",-0.533958220715084
"X30",-1.09360366514259
"X30",-0.569828064149915
"X30",-0.437705583558926
"X30",-0.451957547491255
"X30",-1.00772439604078
"X30",-0.277042620917861
"X30",-0.615311885008711
"X30",-1.83258146374831
"X30",-1.28951018098661
"X30",-0.812261031965198
"X30",-0.190150555250035
"X30",-0.983872869294278
"X30",-0.629256471727896
"X30",-0.584141354957391
"X30",-0.472889660742904
"X30",-0.642724213742879
"X30",-0.30997562839223
"X30",-0.464237288499427
"X30",-0.899181990336303
"X30",-0.858223539008214
"X30",-0.810915656998985
"X30",-0.596838800947518
"X30",-0.496356558332013
"X30",-0.172012748576917
"X30",-0.376884987639683
"X30",-0.431180257114758
"X30",-0.868188843380785
"X30",-1.03538132245637
"X30",-0.943950597482577
"X30",-1.0354967431419
"X30",-0.901351686749143
"X30",-0.398352980245962
"X30",-0.671682581441824
"X30",-0.991686425093851
"X30",-0.525083332899279
"X30",-0.442187738539325
"X30",-0.824443682636332
"X30",-0.64228530316131
"X30",-0.731904926639923
"X30",-1.55198690498631
"X30",-0.377238807756358
"X30",-0.315425728287893
"X30",-1.4672899129503
"X30",-0.562745692616974
"X30",-0.479010141319111
"X30",-1.49537148263098
"X30",-0.529290349254138
"X30",-0.434846572613946
"X30",-0.506320757633915
"X30",-0.58658185742723
"X30",-1.13961793153328
"X30",-0.910604624830673
"X30",-0.725314594688032
"X30",-0.798084718620848
"X30",-1.22787315663961
"X30",-1.18754853741019
"X30",-0.37733310895367
"X30",-0.514433170991085
"X30",-0.694212630614987
"X30",-0.225724656070407
"X30",-0.959929905196669
"X30",-1.06712185248352
"X30",0.0907723576940156
"X30",-1.21783673354795
"X30",-0.724772595375547
"X30",-0.888255994474537
"X30",-1.5481483530229
"X30",-0.973153455435102
"X30",-0.817044866513268
"X30",-0.686980101808723
"X30",-0.991539880025987
"X30",-0.999140147899461
"X30",-0.678915306348999
"X30",-0.540677360926636
"X30",-0.309770959517241
"X30",-1.83258146374831
"X30",-0.88399250852904
"X30",-0.404102875089785
"X30",-0.550567736467826
"X30",-0.362285683533978
"X30",-0.260482428455127
"X30",-0.675188523909274
"X30",-0.895632908398494
"X30",-0.890970791201512
"X30",-0.281345576369347
"X30",-1.0717918253049
"X30",-0.766295394617819
"X30",-0.453222985112682
"X30",-0.792013992593997
"X30",-0.51518367409066
"X30",-1.06719658845932
"X30",-1.3049065860114
"X30",-0.249975391348267
"X30",-0.776223949963189
"X30",-0.87582209661759
"X30",-0.689021530262036
"X30",-0.713801757990016
"X30",-0.346935756304198
"X30",-0.778277958028738
"X30",-0.521644773974908
"X30",-0.298238232319131
"X30",-0.732605214538603
"X30",-0.423314240835577
"X30",-1.02498911823135
"X30",-1.00131591372908
"X30",-1.69798110945776
"X30",-0.342815370506433
"X30",-0.906101161352552
"X30",-0.60153935707041
"X30",-0.894187456927955
"X30",-0.848101076923487
"X30",-1.83258146374831
"X30",-0.661815788498875
"X30",-1.12862418876555
"X30",-1.12796018596684
"X30",-0.554511465457227
"X30",-0.591536710689057
"X30",-0.58875452195588
"X30",-1.43907210289691
"X30",-0.60683650560741
"X30",-0.760956585645232
"X30",-0.519335080229799
"X30",-0.574358771680588
"X30",-0.573468151635172
"X30",-1.06767337694873
"X30",-0.71753046901665
"X30",-0.26579459976474
"X30",-0.390345451551828
"X30",-0.314974308459781
"X30",-0.580528735789027
"X30",-0.524492258091358
"X30",-0.803772081268998
"X30",-0.839965080188431
"X30",-0.937763786840456
"X30",-0.9113976755067
"X30",-0.703837474383361
"X30",-0.930913546224417
"X30",-0.875967433146389
"X30",-0.341647142954873
"X30",-0.86764265722957
"X30",-0.618204201000688
"X30",-0.300527911120061
"X30",-0.680188678977625
"X30",-0.434798542066487
"X30",-0.0294572139803529
"X30",-0.62985721836778
"X30",-1.10028984763076
"X30",-0.576124485638654
"X30",-0.490062737789039
"X30",-1.02035490596419
"X30",-0.369347411468746
"X30",-0.450154511167443
"X30",-0.6652119844906
"X30",-1.11614466121322
"X30",-1.51504865180752
"X30",-0.733780020496618
"X30",-1.33654136756406
"X30",-0.939096766472842
"X30",-0.823475457047584
"X30",-1.0016428161119
"X30",-1.00374792823025
"X30",-1.00536104029119
"X30",-0.940441794190832
"X30",-0.544807683609504
"X30",-0.452569619418485
"X30",-1.00406760517528
"X30",-0.409750834476863
"X30",-0.656329045025094
"X30",-0.752544175383833
"X30",-0.540812110450035
"X30",-0.934426330925382
"X30",-0.759028905899561
"X30",-0.310986610720461
"X30",-1.21277588875893
"X30",-0.222693299160577
"X30",-1.02926272121137
"X30",-0.85443074424683
"X30",-0.40929406597926
"X30",-0.837795312819903
"X30",-0.416693210818324
"X30",-0.43801959684439
"X30",-0.365536396948459
"X30",-0.83334352888106
"X30",-1.02098747689466
"X30",-0.916450032873474
"X30",-0.593936747382133
"X30",-0.651432526516396
"X30",-0.732537700280781
"X30",-0.533731334854514
"X30",-0.396123658325352
"X30",-0.44407221853627
"X30",-0.492972688645214
"X30",-0.19891107610769
"X30",-0.407420221407924
"X30",-0.590695003913603
"X30",-0.859815483728611
"X30",-0.48743661852662
"X30",-0.682610015124562
"X30",-0.0854700831977238
"X30",-0.349798235844461
"X30",-0.565102341483785
"X30",-1.06873420073569
"X30",-0.263093695337377
