"conc","rlu_cens","plate"
0.063936,375788,"Cu 23Apr24 Rep6B"
0.063936,332994,"Cu 23Apr24 Rep6B"
0.1263144,113987,"Cu 23Apr24 Rep6B"
0.1263144,160991,"Cu 23Apr24 Rep6B"
0.1263144,94315,"Cu 23Apr24 Rep6B"
0.1263144,143046,"Cu 23Apr24 Rep6B"
0.2510712,3384,"Cu 23Apr24 Rep6B"
0.2510712,1775,"Cu 23Apr24 Rep6B"
0.2510712,11316,"Cu 23Apr24 Rep6B"
0.2510712,1950,"Cu 23Apr24 Rep6B"
0.4997,2010,"Cu 23Apr24 Rep6B"
0.4997,43,"Cu 23Apr24 Rep6B"
0.4997,43,"Cu 23Apr24 Rep6B"
0.4997,43,"Cu 23Apr24 Rep6B"
0.9974,43,"Cu 23Apr24 Rep6B"
0.9974,43,"Cu 23Apr24 Rep6B"
0.9974,43,"Cu 23Apr24 Rep6B"
0.9974,43,"Cu 23Apr24 Rep6B"
1.9928,43,"Cu 23Apr24 Rep6B"
1.9928,43,"Cu 23Apr24 Rep6B"
1.9928,151,"Cu 23Apr24 Rep6B"
1.9928,43,"Cu 23Apr24 Rep6B"
3.9836,43,"Cu 23Apr24 Rep6B"
3.9836,94,"Cu 23Apr24 Rep6B"
3.9836,43,"Cu 23Apr24 Rep6B"
3.9836,605,"Cu 23Apr24 Rep6B"
0.002,838928,"Cu 23Apr24 Rep7B"
0.002,949464,"Cu 23Apr24 Rep7B"
0.002,901116,"Cu 23Apr24 Rep7B"
0.002,831331,"Cu 23Apr24 Rep7B"
0.0099632,825172,"Cu 23Apr24 Rep7B"
0.0099632,812319,"Cu 23Apr24 Rep7B"
0.0099632,777164,"Cu 23Apr24 Rep7B"
0.0099632,856227,"Cu 23Apr24 Rep7B"
0.017484,816936,"Cu 23Apr24 Rep7B"
0.017484,779796,"Cu 23Apr24 Rep7B"
0.017484,827649,"Cu 23Apr24 Rep7B"
0.017484,793874,"Cu 23Apr24 Rep7B"
0.032968,699036,"Cu 23Apr24 Rep7B"
0.032968,676486,"Cu 23Apr24 Rep7B"
0.032968,782554,"Cu 23Apr24 Rep7B"
0.032968,737651,"Cu 23Apr24 Rep7B"
0.063936,547625,"Cu 23Apr24 Rep7B"
0.063936,608131,"Cu 23Apr24 Rep7B"
0.063936,949464,"Cu 23Apr24 Rep7B"
0.063936,620779,"Cu 23Apr24 Rep7B"
0.1263144,151635,"Cu 23Apr24 Rep7B"
0.1263144,178423,"Cu 23Apr24 Rep7B"
0.1263144,214104,"Cu 23Apr24 Rep7B"
0.1263144,135440,"Cu 23Apr24 Rep7B"
0.2510712,2636,"Cu 23Apr24 Rep7B"
0.2510712,2735,"Cu 23Apr24 Rep7B"
0.2510712,15066,"Cu 23Apr24 Rep7B"
0.2510712,7893,"Cu 23Apr24 Rep7B"
0.4997,24,"Cu 23Apr24 Rep7B"
0.4997,309,"Cu 23Apr24 Rep7B"
0.4997,834,"Cu 23Apr24 Rep7B"
0.4997,3169,"Cu 23Apr24 Rep7B"
0.9974,24,"Cu 23Apr24 Rep7B"
0.9974,123,"Cu 23Apr24 Rep7B"
0.9974,24,"Cu 23Apr24 Rep7B"
0.9974,24,"Cu 23Apr24 Rep7B"
1.9928,751,"Cu 23Apr24 Rep7B"
1.9928,24,"Cu 23Apr24 Rep7B"
1.9928,24,"Cu 23Apr24 Rep7B"
1.9928,195,"Cu 23Apr24 Rep7B"
3.9836,24,"Cu 23Apr24 Rep7B"
3.9836,24,"Cu 23Apr24 Rep7B"
3.9836,24,"Cu 23Apr24 Rep7B"
3.9836,24,"Cu 23Apr24 Rep7B"
0.002,468445,"Cu 23Apr24 Rep8B"
0.002,505492,"Cu 23Apr24 Rep8B"
0.002,440217,"Cu 23Apr24 Rep8B"
0.002,483593,"Cu 23Apr24 Rep8B"
0.0099632,405416,"Cu 23Apr24 Rep8B"
0.0099632,460782,"Cu 23Apr24 Rep8B"
0.0099632,415202,"Cu 23Apr24 Rep8B"
0.0099632,437056,"Cu 23Apr24 Rep8B"
0.017484,396678,"Cu 23Apr24 Rep8B"
0.017484,412072,"Cu 23Apr24 Rep8B"
0.017484,423142,"Cu 23Apr24 Rep8B"
0.017484,439322,"Cu 23Apr24 Rep8B"
0.032968,397080,"Cu 23Apr24 Rep8B"
0.032968,414153,"Cu 23Apr24 Rep8B"
0.032968,376836,"Cu 23Apr24 Rep8B"
0.032968,400826,"Cu 23Apr24 Rep8B"
0.063936,311536,"Cu 23Apr24 Rep8B"
0.063936,294836,"Cu 23Apr24 Rep8B"
0.063936,340876,"Cu 23Apr24 Rep8B"
0.063936,321371,"Cu 23Apr24 Rep8B"
0.1263144,86000,"Cu 23Apr24 Rep8B"
0.1263144,79388,"Cu 23Apr24 Rep8B"
0.1263144,87123,"Cu 23Apr24 Rep8B"
0.1263144,90836,"Cu 23Apr24 Rep8B"
0.2510712,1091,"Cu 23Apr24 Rep8B"
0.2510712,2959,"Cu 23Apr24 Rep8B"
0.2510712,6003,"Cu 23Apr24 Rep8B"
0.2510712,3936,"Cu 23Apr24 Rep8B"
0.4997,1602,"Cu 23Apr24 Rep8B"
0.4997,358,"Cu 23Apr24 Rep8B"
0.4997,268,"Cu 23Apr24 Rep8B"
0.4997,260,"Cu 23Apr24 Rep8B"
0.9974,295,"Cu 23Apr24 Rep8B"
0.9974,38,"Cu 23Apr24 Rep8B"
0.9974,38,"Cu 23Apr24 Rep8B"
0.9974,38,"Cu 23Apr24 Rep8B"
1.9928,38,"Cu 23Apr24 Rep8B"
1.9928,1706,"Cu 23Apr24 Rep8B"
1.9928,38,"Cu 23Apr24 Rep8B"
1.9928,258,"Cu 23Apr24 Rep8B"
3.9836,199,"Cu 23Apr24 Rep8B"
3.9836,38,"Cu 23Apr24 Rep8B"
