"model","concentration","Estimate","Q2.5","Q97.5"
"nec3param",1.16162023350014,0.379413541546058,0.357166082600287,0.401157415762119
"nec3param",1.1709673072108,0.376965253040683,0.354971387152984,0.398498685769192
"nec3param",1.18038959292659,0.374546667270029,0.352646404271483,0.395868812610165
"nec3param",1.18988769584714,0.37212575858958,0.350451361974453,0.393282662433093
"nec3param",1.1994622260419,0.369751581440387,0.348355836166969,0.390721759290231
"nec3param",1.20911379848928,0.367370693747075,0.346229957592978,0.388106826921717
"nec3param",1.21884303311616,0.364998696903814,0.344101734634889,0.385557542332737
"nec3param",1.22865055483773,0.362624183670048,0.341910045964336,0.383037103025147
"nec3param",1.23853699359759,0.360259440732541,0.339724947169166,0.380545014080502
"nec3param",1.24850298440825,0.357967450890521,0.337619321945542,0.37809076056922
"nec3param",1.25854916739189,0.35565803165665,0.335454729695397,0.375572813628634
"nec3param",1.2686761878215,0.353358107548921,0.333399106328724,0.373052988633257
"nec3param",1.2788846961623,0.351096001028483,0.331263290184145,0.37067441134721
"nec3param",1.28917534811354,0.348836089246074,0.329104263088178,0.368251035003164
"nec3param",1.2995488046506,0.346570198275833,0.32709069881738,0.365842474719109
"nec3param",1.31000573206746,0.344336822983033,0.325074569266713,0.363414924589262
"nec3param",1.3205468020195,0.342102944220541,0.322990442291223,0.361037784498311
"nec3param",1.3311726915666,0.339908158218127,0.320895850761774,0.358671357796821
"nec3param",1.3418840832167,0.337702167498727,0.318805342525198,0.356390096145911
"nec3param",1.35268166496955,0.335518670060315,0.316745897730983,0.354075089052218
"nec3param",1.36356613036099,0.333349474896875,0.314684979969558,0.3517723840361
"nec3param",1.37453817850744,0.33119871595688,0.312650084812807,0.349480437257905
"nec3param",1.38559851415079,0.329055339154224,0.310660660398093,0.347149343541189
"nec3param",1.39674784770375,0.326930329348809,0.308729279722813,0.344867009994532
"nec3param",1.40798689529536,0.324832013065805,0.30680284820638,0.34262831155581
"nec3param",1.41931637881711,0.322722146088546,0.304829128753245,0.340416420879375
"nec3param",1.43073702596922,0.320635816466867,0.302891625010249,0.338264909739089
"nec3param",1.44224957030741,0.318569003186468,0.300991497604799,0.336111322034334
"nec3param",1.45385475129002,0.316518415497183,0.299053434525305,0.333925561415495
"nec3param",1.46555331432551,0.314485204519997,0.297154672892325,0.331787783244226
"nec3param",1.47734601082033,0.312451346122748,0.295268323217524,0.329624051378062
"nec3param",1.48923359822717,0.310428543821788,0.293433947992898,0.327501048662414
"nec3param",1.50121684009364,0.308421922203926,0.291530488754991,0.325407791864956
"nec3param",1.51329650611131,0.306442752722528,0.289670463863094,0.323316756692293
"nec3param",1.5254733721651,0.304465687703201,0.287839694810994,0.3212303181172
"nec3param",1.53774822038319,0.302501541095261,0.286034358973489,0.319108856550746
"nec3param",1.55012183918721,0.300541472143393,0.284242906065614,0.317007303230098
"nec3param",1.56259502334287,0.298621851495876,0.282471623711878,0.314969000465905
"nec3param",1.57516857401105,0.296697060327856,0.280673963544586,0.31294547258284
"nec3param",1.58784329879923,0.294775063597602,0.278918193784657,0.310898299375034
"nec3param",1.60062001181338,0.292866561812499,0.277132367662729,0.308938949765742
"nec3param",1.61349953371022,0.290977472876546,0.275340249713702,0.306912133273658
"nec3param",1.62648269174997,0.289105680377626,0.27359223034143,0.304893144827033
"nec3param",1.63957031984947,0.287245401356772,0.271837867903944,0.302920698737083
"nec3param",1.65276325863573,0.285408996972969,0.270098844244868,0.300978378771498
"nec3param",1.66606235549994,0.283555617848458,0.26836640864476,0.299056527884243
"nec3param",1.67946846465188,0.281725409073071,0.266634884906098,0.297093663023069
"nec3param",1.69298244717484,0.279905015879882,0.264926350830012,0.295186864728855
"nec3param",1.70660517108084,0.27811866393947,0.263208438268242,0.293293216617786
"nec3param",1.72033751136647,0.276332511159057,0.261531982313976,0.291416934803502
"nec3param",1.73418035006901,0.274561439829231,0.25980766058007,0.28954379117019
"nec3param",1.74813457632318,0.272794980441244,0.258144413779862,0.287683130349909
"nec3param",1.76220108641815,0.271029579067825,0.256469867085556,0.285837864856264
"nec3param",1.77638078385517,0.269302505004618,0.254851772640901,0.284003133024912
"nec3param",1.7906745794056,0.267568441290076,0.253203691785001,0.282179457938344
"nec3param",1.80508339116939,0.265852385590964,0.251575745692013,0.280306162552837
"nec3param",1.81960814463405,0.26414212219336,0.249970180714303,0.278536730338863
"nec3param",1.83424977273411,0.26243809753204,0.248353178903692,0.276770134523746
"nec3param",1.84900921591104,0.260728276659895,0.246760781245795,0.275010048118962
"nec3param",1.86388742217363,0.259050936457052,0.245132705750633,0.273315543378403
"nec3param",1.87888534715892,0.257377871521384,0.243538439976156,0.271602466219166
"nec3param",1.89400395419356,0.25570802841285,0.241955304181284,0.269839590548563
"nec3param",1.90924421435568,0.254066478648286,0.240405489458089,0.268151042039778
"nec3param",1.92460710653729,0.252421555159984,0.238869889217455,0.26641426208151
"nec3param",1.94009361750711,0.2508058650698,0.237319960298594,0.264735489663555
"nec3param",1.955704741974,0.249206230870069,0.235835321370202,0.263075481040676
"nec3param",1.9714414826508,0.247600397322051,0.234318076434935,0.261394226392339
"nec3param",1.9873048503188,0.245988136864424,0.232802906585928,0.259705635777548
"nec3param",2.00329586389258,0.244388773686079,0.231282557113101,0.258055080693146
"nec3param",2.01941555048554,0.242819713482628,0.229757478538976,0.256400808261403
"nec3param",2.03566494547582,0.241273609971567,0.228261263047337,0.254757492677563
"nec3param",2.05204509257281,0.239723197642649,0.226765421301349,0.253135056509259
"nec3param",2.0685570438842,0.238188727935795,0.225268619019555,0.251576831811273
"nec3param",2.08520185998355,0.236646957065807,0.223819734636431,0.249948453862323
"nec3param",2.10198060997842,0.235120923484716,0.222351022410678,0.248418757476771
"nec3param",2.11889437157901,0.233630838209895,0.220880269982663,0.246859726101622
"nec3param",2.13594423116744,0.232139687317754,0.219484657143084,0.24532028189952
"nec3param",2.15313128386747,0.23064826822748,0.218022595575223,0.243749599617312
"nec3param",2.17045663361486,0.229170127351883,0.216645057319781,0.242216341211602
